"caption_type","What aspects of this description are accurate?","What aspects of this description are NOT accurate?","How could this description be improved?"
"seq2seq_low","There is a button on the bottom.","There is no description of which side the button is on.","To finish the description that the button to the bottom right is to send a text."
"seq2seq_low","None - there is no button","There is no button on the bottom of the page","It needs to reflect what is on the screen"
"seq2seq_low","Nothing about this is accurate.","There is no button at the bottom of the screen and this description is not finished.","They could describe the app shown and complete their sentence."
"seq2seq_low","There is a  button there.","It doesn't say what the button does, or anything about it.","To complete the sentence with the information about what the button is for, and how the user can use it."
"seq2seq_low","nothing","It is not mentioning anything related","Displays the event details"
"seq2seq_low","Nothing is accurate","There is nothing at the bottom of the screen as referenced","It could provide accurate information, that there is window in the center informing the user that the app is unable to locate the user and asking if they would like to open Settings"
"seq2seq_low","boxes listed next to options for clearing or removing certain information","all is accurate as far as to checking a box to clear certain data","nothing to improved liked the listing of the clear button to remove data"
"seq2seq_low","There are buttons","The buttons are at the bottom of the screen","The position should be corrected to the middle of the screen; add that there is a temperature gauge visible; cite the correct number of buttons (4), and their color, text, etc."
"seq2seq_low","there is nothing accurate besides the screen having a bottom. Which is true for all screens.","That there is a button at the bottom of the screen.","This description can be improved by talking about the window in the middle of the screen that controls the brightness. The description that was given was incomplete and wrong."
"seq2seq_low","I suppose it's accurate, somewhat, that there is a button -- that's if CANCEL and SEND are considered buttons.","There is not one button, but potentially two. And neither is at the bottom of the screen, but in the middle.","Clearly address what the screen is soliciting: feedback and an email address."
"seq2seq_low","Yes, there are choices at the bottom of the page","There is not just one button; there are multiple buttons","It could say, ""there are multiple buttons or choices at the bottom of the page"""
"seq2seq_low","There is something at the bottom of the screen.","The description again fails to mention what the button does, and in this case there are two buttons.","Specify what button you mean and do a basic grammar check."
"seq2seq_low","I don't think there is any accurate information in this description, because I do not see any links or buttons to whatever it is trying to say.","First, I do not see any link or button. Second, the description isn't a complete sentence, so users likely will be very confused by this.","First, the sentence of the description should be complete, as it trails off in the middle of the sentence. The description could also say what exactly the screen is about- that it is about home decor, furniture, and what is important in order to decorate a house."
"seq2seq_low","there is a button on the screen","the button is in the middle of the screen","Change the position of the button in the description and finish the description"
"seq2seq_low","I guess it's true that their is a button","it explains basically nothing","a full sentence could be used, that would be a start"
"seq2seq_low","There is actually a button at the end of the screen.","The description is not complete.","By having a complete description."
"seq2seq_low","The sentence starts correctly","There is no specification at the end of the sentence","To complete the sentence"
"seq2seq_low","There is a bottom button.","Nothing","The description should indicate that the button will start the app."
"seq2seq_low","None","there's no button on the bottom of the screen.","Provide better details on where to click"
"seq2seq_low","None of the aspects are accurate.","There is no button visible at the bottom of the screen.","At the top of the screen, there is a red bar showing the company, city and state."
"seq2seq_low","There is a button at the bottom","Not inaccurate so much as missing information","Details on what the button does would help. Using complete sentences is necessary."
"seq2seq_low","There is a button at the bottom of the screen.","The description is cut off","I would ask somebody to finish the description."
"seq2seq_low","There are buttons on the bottom of the screen","The user doesnt go to them the user presses them","Describe what the buttons do and change the language to include the word press not go to."
"seq2seq_low","None.","There is no button on the bottom of the screen.","On the center of the screen is an ""ok"" button to dismiss the ""Can't connect to server"" notification."
"seq2seq_low","none","I don't see any button on the bottom.","The sentence itself is incomplete and it is inaccurate as there is no bottom on the bottom."
"seq2seq_low","None","There is no button at the bottom of the screen.","The user should be told to enter his email in the white box, then Cancel or Accept."
"seq2seq_low","There is a button at the bottom for location list.","The description is incomplete.","Finish the sentence to say ""the bottom of the screen there is a button to the location list."""
"seq2seq_low","Everything. This description is completely wrong.","There is nothing accurate in this description. It appears to be randomly generated.","""This is a login screen to a mail app or website."""
"seq2seq_low","There is a bottom of the screen","There is not button on the bottom of the screen","Incomplete sentence and does not describe the functionality of this page at all."
"seq2seq_low","It's not accurate at all.","There is no button at the bottom of the screen.","Describe what you can do with this screen."
"seq2seq_low","None.","There isn't anything at the bottom.","A blank search screen for GameStop."
