"caption_type","average_accuracy","average_unnecessary_info","average_understandability"
"im2txt_low","2.39","1.50","1.90"
"im2txt_high","2.76","1.51","1.79"
"im2txt_combined","2.37","1.50","2.02"
"seq2seq_low","1.67","2.45","2.08"
"seq2seq_high","1.75","2.54","1.84"
"seq2seq_combined","1.80","2.40","1.89"
"neuraltalk_low","2.30","1.46","2.02"
"neuraltalk_high","1.84","1.54","2.22"
"neuraltalk_combined","2.30","1.43","2.03"
"groundtruth_low","3.84","1.39","1.40"
"groundtruth_high","4.20","1.27","1.20"
"where accuracy of 1 is 'Strongly Disagree' and 5 is 'Strongly Agree'","and unnsec of 1 is 'Has no unnessecary information' and 3 is 'Has a lot of unnessecary information'","and understandibility of 1 is 'Easy to read and understand' and 3 is 'Hard to read and understand'."
