screen shows shopping and selling app page,in top right corner there is a menu option where user can view all menu about this app,left of the menu option there is a bag option where user can add items to the bag,left of the bag option there is email option where user can mail,in top center there is a search option where user can search items easily,
A page is loading in the screen,Loading button is placed in the center of the page,Go to Webbrowser placed at the bottom of the page,Add account to Facebook is shown in the background,the main page has hp logo on top left corner,
screen shows a musical studio with different option,on top right corner there is a toggle button and left corner a back arrow,on top there is a circle for rass on left and a circle for treble on righr,on the middle there are some line for changing sound effect,on the bottom there are two option balance on right and volume on left with null option,
This screen allows users to draw anime.,The top left corner has three lined icon on clicking that which allows menu to the user.,Next to menu icon, there is a text title of page through which user can identify the page.,The top right corner has three dotted icon to enable user to change settings.,Below to the menu icon, there is a screen which displays options to draw parts of anime.,
This screen is a page of some security application,At the top center a label is displayed as enter the new applock password,In the middle a pop up is displayed with an 'I' symbol,The pop up is displayed with a link button,And the link button is called as ok,
The screen shows the settings fields of a particular application,The first line is for showing user information. A person can explicitly add a user information by clicking on the ADD button.,The second field is for location and the use can check the box in case he wants a closer location.,The third setting field is for acknowledging  the version details of app.,The fouth field shows current version and the tab update is for checking and installing the update available.,
This is a map of the Williamsburg, VA area with a weather advisory alert.,The top portion of the  map shows the different areas in Williamsburg, VA.,The second button on the left is the settings button.,The plus symbol is to zoom in.,The minus symbol is to zoom out.,
the screen allows the user to enter personal information to register,the list in the center popup allows the user to scroll to find their birth year,the word 'cancel' in the center popup allows the user to go back to the list without setting a year,the word 'set' in the center popup allows the user to select the year,the arrow in the top left corner allows the user to return to the previous screen,
the screen displays the conversations made by the user in the application,the user can click on the new message at the top to compose new message,the user can click on help and support at the top to know about it,the user can click on credits to know about it,the user can click on the back button to move to previous page,
This screen is where users can go to access the cartoon saved to their favorites.,The picture at the top left corner is what the users have saved.,The arrow at the bottom right of the screen allows users to scroll to the right.,The arrow at the bottom left of the screen allows users to scroll to the left.,The top left corner with the check mark in the triangle means download successful.,
Screen is an intro page to an app that 'saves the deals' mobiSave,top center is text 'save the deals, we make it so easy',center of screen is icon of a phone, mobiSave app on phone,center bottom are four radio buttons, first button selected, different screen under each button,rest of screen is blank,
screen show login form in animoto,in top of the screen login and signup option is given for user login,in top of the screen  email and password field is given for enter the email,in top of the screen login  option is given for user login,in bottom of the screen login with facebook for facebook login,
History page of the app is shown in the screen,There is a popdown settings menu at right side of the page,More button is placed at the top right corner,Towards the bottom there is a text No Scan,logo and label History are placed at top left corner,
screen shows google play store page,in top left corner side menu option is placed where user can view all menu,in top right corner there is search option is placed where user can search easily,in center of the screen there is a install button where user can install app,in right of the install button there is a open button where user can open this app,
Screen shows to user can view the details about the recording videos,In the top left hand corner, there is a menu button that the user can change their category,In the top right hand corner, have the setting option where user can use to change their information,Before the setting option, have a add symbol where the user can add the videos,In the bottom of the screen, have a record  button where the user have to save the recording videos,
This is a introductory page for a new user to the app,In the center of the page is a brief description of the app,There is an arrow on the right edge to allow the user to move to the next step,Underneath the description there are 3 dots indicating which step the user is on,At the bottom of the page there is a Next button to allow user to go to the next step,
Screen shows to user can view the dress on video,In the top left hand corner, there is a button that the user can click to take them to the previous screen.,In the bottom right of image , there is a button that the user can click to take them to the next screen,In the center of the screen, have a dress image where user can view the dress,In the bottom of the screen, there is a descrption under the image where user can know about that dress,
screen show city app,in top of the screen back option is placed for go previous,in top of the screen template,download and photo option is given for user needs,,,
screen shows chicago bus app blank page,on the top left corner there is a home button,on the top there is a heading chicago bus ( CTA),on the bottom left corner there is a heading google,the upper screen is black and lower screen is white and there is  no other options,
screen shows that search screen,in top of the screen state drop button is given for select state,in top of the screen city drop button is given for select city,in top of the screen interstate drop button is given for select interstate,in top of the screen travel plaza drop button is given for select  travel plaza,
Loading screen which will launch the 'terms and conditions' of a dating app called Once,In the bottom left there is an arrow to go back to previous screen,Bellow this there is a 'menu button' the user can click on to access options,in the bottom there a list of button the user can click on to access some parts of the app : contact us, love stories, about, press, jobs, FAQ, Terms, sign up,In the center there appears to be to buttons to choose between 'terms and conditions' and 'privacy policy',
This is a page to buy icons.,There is a box twords the top that lists the price.,There is a text twords the top that describes the icons,There is a cupcake with a rainbow icon in the middle of the screen that has no use.,On the top right it states the time this screenshot was taken.,
This is a sign up page of some application,At the top center a label is displayed as wickr messenger which is the name of the application,Below the application name another label is displayed as create a new account,Below the create a new account label few blank fields are displayed,You can choose your desired option,
Screen showing page helps the user to recover passoword.,At the top of the screen there is field for entering the users email. User can enter email to proceed.,Just below the email field there is a Continue button. If it is clicked user can continue.,At the bottom a message button is placed to show email error.,The top left portion of the screen has an arrow. When user clicks it the page will be moved to previous session.,
screen shows news team page for know about the team members,in top left corner back option is placed for go to previous,below the back option there is a twitter button where user can go to twitter page,right of the twitter button there is a facebook button where user can go to facebook page,right of the google+ button there is a mail button where user can send mail or view mail id,
